pressure [psi],temperature [C],w co2 vap [w/w],w c5 vap [w/w],w co2 liq [w/w],w c5 liq [w/w],density co2 vap [g/mL],density c5 vap [g/mL],density co2 liq [g/mL],density c5 liq [g/mL]
14.5,33,0.244837182,0.755162818,0.00238407,0.99761593,0.000602731,0.001859033,0.001770696,0.740949335
290,33,0.938619036,0.061380964,0.143996655,0.856003345,0.037106778,0.002426597,0.109870925,0.653139336
580,33,0.962313515,0.037686485,0.333440351,0.666559649,0.086316312,0.003380352,0.262333074,0.52441356
870,33,0.969692194,0.030307806,0.659733742,0.340266258,0.160198925,0.00500703,0.526979029,0.271796288
1015,33,0.976570126,0.023429874,0.882786542,0.117213458,0.222791553,0.005345216,0.646241075,0.085805739
1087.5,33,0.984544201,0.015455799,0.95206132,0.04793868,0.271778035,0.004266489,0.632216505,0.03183369
1160,33,0.998458103,0.001541897,0.997362387,0.002637613,0.357702662,0.000552392,0.557178802,0.001473508
14.5,37,0.167864602,0.832135398,0.001625906,0.998374094,0.00042624,0.00211295,0.001201015,0.737473379
290,37,0.929634156,0.070365844,0.135203828,0.864796172,0.036293937,0.00274716,0.102376224,0.654822931
580,37,0.956630595,0.043369405,0.307946512,0.692053488,0.084013221,0.003808788,0.239607825,0.538474783
870,37,0.963950648,0.036049352,0.573913326,0.426086674,0.153125527,0.005726513,0.454668491,0.33755652
1015,37,0.967118853,0.032881147,0.788461667,0.211538333,0.208025292,0.007072668,0.59654821,0.160049397
1087.5,37,0.970829607,0.029170393,0.880980656,0.119019344,0.248302604,0.007460717,0.618754914,0.083592986
1160,37,0.977496671,0.022503329,0.946007613,0.053992387,0.309367255,0.007122063,0.585075229,0.033392552
14.5,41,0.0895142,0.9104858,0.000866702,0.999133298,0.000235213,0.002392444,0.000636689,0.733973985
290,41,0.919731191,0.080268809,0.12724772,0.87275228,0.035491293,0.003097474,0.095633377,0.655919396
580,41,0.950417918,0.049582082,0.286256123,0.713743877,0.081836433,0.004269302,0.220432058,0.549619793
870,41,0.958237965,0.041762035,0.511085631,0.488914369,0.146934139,0.0064037,0.400495772,0.383121978
1015,41,0.959702031,0.040297969,0.688431316,0.311568684,0.195771893,0.008220478,0.529214176,0.239510552
1087.5,41,0.960838873,0.039161127,0.791685736,0.208314264,0.229614988,0.00935847,0.581780072,0.153082318
1160,41,0.963162608,0.036837392,0.878546019,0.121453981,0.276612165,0.010579388,0.589604785,0.081509502
14.5,25,0.391744477242659,0.608255522757341,0.0039149350164486355,0.9960850649835513,0.0009156321271500521,0.0014216876829333978,0.0029392061302427465,0.7478283335335434
290,25,0.954037589283269,0.04596241071673105,0.16474026232477335,0.8352597376752267,0.038774692451104056,0.0018680378633628644,0.1277204596896602,0.6475633591370252
580,25,0.9722556614417388,0.027744338558261146,0.4019054067958008,0.5980945932041993,0.09139120493156638,0.0026079442181995926,0.3243006569652693,0.4826072658486163
870,25,0.9839164327751322,0.016083567224867843,0.879025908797832,0.12097409120216797,0.17779513265616204,0.002906324026182025,0.693108672791019,0.09538762277201393
14.5,29,0.31969415389465916,0.6803058461053408,0.003145493141107752,0.9968545068588923,0.0007655692578968253,0.0016291234462715602,0.002348897569916564,0.7444012826226082
290,29,0.9467362651452566,0.053263734854743436,0.15377840606570398,0.846221593934296,0.03793266985810891,0.002134106132867783,0.1182591425493674,0.6507639314629846
580,29,0.9675066798801483,0.03249332011985174,0.3640554746319919,0.6359445253680082,0.08876700426306931,0.0029812038982071497,0.2898794876681575,0.5063713803106424
870,29,0.9760160667648646,0.023983933235135386,0.7699302036432034,0.2300697963567965,0.1683664404916961,0.004137318641869309,0.6145919637509641,0.18365177424346676
1015,29,0.9893404356706003,0.010659564329399787,0.9586416891123458,0.04135831088765422,0.2404908988347901,0.0025911487232673316,0.675438111730065,0.02914016751782258
841.,21,0.9260002112825456,0.07399978871745441,0.9260016114829427,0.0739983885170573,0.21632733641574164,0.017287444423368572,0.2163241809029015,0.017286839013651068
290,21,0.9605755429144327,0.03942445708556732,0.1771267074699273,0.8228732925300727,0.03963618552771833,0.0016267696038064902,0.13848676710280705,0.643364649213501
580,21,0.9766172127627556,0.023382787237244455,0.45067196623224326,0.5493280337677567,0.09422083084888175,0.002255894747977373,0.36919843525916335,0.4500192284126559
870,21,0.9945005370068473,0.005499462993152646,0.9678161680331836,0.03218383196681651,0.18854881205429724,0.0010426512361836583,0.7534428133942536,0.02505504423651531
14.5,45,0.010544256336124642,0.9894557436638755,0.00010254401925982878,0.9998974559807401,0.000028763464403907554,0.0026991163866732968,0.00007491110879812767,0.7304514456582005
290,45,0.9088615839676276,0.0911384160323725,0.12000528835494888,0.8799947116450512,0.03469618800552191,0.0034792488459907222,0.08952886629600723,0.6565121417569113
580,45,0.9436387326971224,0.056361267302877646,0.2674935708814685,0.7325064291185315,0.07976821613422796,0.004764363305610473,0.2039666489721115,0.5585438229617841
870,45,0.9523080882197155,0.04769191178028454,0.46333796430534596,0.536662035694654,0.1414382891024672,0.00708327744946438,0.3590075159225799,0.4158211050405603
1015,45,0.9531479121204979,0.04685208787950219,0.6054872149687174,0.3945127850312826,0.18555236753455515,0.00912084653329191,0.4657126823529582,0.30344093615411355
1087.5,45,0.9530708260614488,0.04692917393855133,0.6962628172896836,0.30373718271031636,0.21462491654877824,0.010568123338627175,0.5239285396012648,0.22855820332253793
1160,45,0.9529652504033691,0.04703474959663091,0.7928306566147623,0.20716934338523782,0.2525634528966447,0.012465573911772694,0.5650674357545683,0.14765404018746955
