pi,Ti,m_co2i,m_polyi,m_c5i,pf,Tf,m_co2f,m_polyf,m_c5f,duration [min]
380.0,41.0,18.06462071679782,83.989,79.11517149999999,340.0,38.0,17.62100054859952,81.40233295012874,76.96636524275003,1049.0
785.0,36.0,50.74468209532125,81.40233295012874,76.96636524275003,745.0,41.0,48.48726540923919,77.59538574605568,74.1173218178004,391.0
900.0,40.0,94.7031021688401,77.59538574605568,74.1173218178004,875.0,40.0,94.14878973673282,74.89006153060517,73.601312159797,1009.0
990.0,37.0,143.4655115739076,74.89006153060517,73.601312159797,975.0,37.0,139.7380616178156,69.39874813567016,71.42435671876898,355.0
1040.0,35.0,209.07665712156057,69.39874813567016,71.42435671876898,1030.0,36.0,206.2482397121169,67.24895304589455,70.30327943508932,3974.0
1100.0,36.0,295.8340535817582,67.24895304589455,70.30327943508932,1085.0,36.0,293.81922527131155,65.6226129604044,69.67899401212043,269.0
970.0,31.0,293.81922527131155,65.6226129604044,69.67899401212043,970.0,31.0,290.91962017551714,63.259002423246486,68.72987854832185,6.0
930.0,32.0,290.91962017551714,62.88445508186042,113.2568666043598,900.0,30.0,289.06114872434904,61.548578823421565,112.38962323990125,246.0
880.0,33.0,289.06114872434904,61.548578823421565,134.7482678732346,810.0,31.0,287.33381797101987,60.402196543689996,133.6096050269725,947.0
980.0,27.0,454.0010688936914,60.402196543689996,133.6096050269725,855.0,21.0,453.01708810466744,59.8369346966178,133.14871901696102,219.0
895.0,21.0,549.58802644584,59.8369346966178,133.14871901696102,740.0,38.0,547.0024142718268,58.004054001748045,131.65000518151487,1209.0
1070.0,38.0,743.0169496265428,58.004054001748045,131.65000518151487,1070.0,42.0,741.0240366443365,56.632449219064,130.9632362234447,263.0
880.0,42.0,741.0240366443365,56.632449219064,130.9632362234447,870.0,43.0,739.6688710936322,55.99608449013316,130.27713163583695,993.0
15.0,22.0,739.6688710936322,55.99608449013316,130.27713163583695,15.0,22.0,739.616756232193,55.15606376645115,129.44313168787784,170.0
